"meal_item_id","chart_id","chart_name","diet_type","health_condition","goal","day_number","meal_slot","time","dish_id","dish_or_item","quantity","serving_multiplier","calories_kcal","protein_g","carbohydrates_g","fat_g","fiber_g","food_link_status","notes","consultant_approval_required"
"MI000001","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000002","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Breakfast","8:00 AM","IND0316","Vegetable Upma","3/4 katori","0.75","247.5","6.4","33.3","6.4","5.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000003","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Breakfast","8:00 AM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000004","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Mid-Morning","11:00 AM","CLN0002","Apple Whole","1 small","1","78","0.4","20.7","0.3","3.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000005","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Lunch","1:30 PM","IND0010","Phulka","2 pieces","2","248","8.2","41.8","5","5.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000006","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Lunch","1:30 PM","IND0002","Moong Dal","1 katori","1","219","12.8","32.8","3.6","9.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000007","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Lunch","1:30 PM","IND0198","Cabbage Sabzi","1 katori","0.8","170.4","5.4","19","8.4","4.8","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000008","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Lunch","1:30 PM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000009","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Evening","5:00 PM","IND0369","Roasted Chana","30 g","0.3","71.7","2.4","10.9","2.9","1.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000010","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Evening","5:00 PM","IND0433","Masala Chaas","1 glass","1","175","9.2","14.9","10.6","0.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000011","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Dinner","8:00 PM","IND0248","Moong Dal Khichdi","1 katori","0.8","256","5.8","39.8","4.9","2.1","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000012","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Dinner","8:00 PM","IND0045","Raita Cucumber","1/2 katori","0.5","85.5","3.8","6.7","5.3","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000013","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","1","Bedtime","10:00 PM","CLN0001","Plain Water","as desired","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000014","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000015","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Breakfast","8:00 AM","IND0017","Plain Idli","2 pieces","0.67","215.1","5.8","34.1","6.1","4.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000016","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Breakfast","8:00 AM","IND0088","Sambar","1 katori","0.75","174","9.5","22.9","2.8","6.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
