"chart_id","chart_name","diet_type","health_condition","goal","general_guidance","foods_to_avoid_or_limit","red_flags_and_exclusions","required_approver","source_ids","status"
"DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","Vegetables, pulses/lean protein, whole grains and minimally processed foods at most meals. Set energy target only after assessment; use a moderate, sustainable deficit and monitor nutrition adequacy. Weight trend, waist, hunger, strength, adherence and signs of nutrient inadequacy.","Sugar-sweetened beverages, frequent fried foods, sweets and oversized portions. Do not prescribe aggressive loss during pregnancy, early postpartum, active eating disorder, undernutrition or unstable disease.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/qualified health consultant","S001;S004","Draft—consultant approval required"
"DC002","Weight management — Non-Veg — Weight loss","Non-Veg","Weight management","Weight loss","Vegetables, pulses/lean protein, whole grains and minimally processed foods at most meals. Set energy target only after assessment; use a moderate, sustainable deficit and monitor nutrition adequacy. Weight trend, waist, hunger, strength, adherence and signs of nutrient inadequacy.","Sugar-sweetened beverages, frequent fried foods, sweets and oversized portions. Do not prescribe aggressive loss during pregnancy, early postpartum, active eating disorder, undernutrition or unstable disease.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/qualified health consultant","S001;S004","Draft—consultant approval required"
"DC003","Hypertension — Veg — Condition support","Veg","Hypertension","Condition support","Keep total salt below the clinician-set limit; WHO population benchmark is less than 5 g salt/day (2 g sodium). Vegetables, fruit, pulses, whole grains, nuts/seeds and appropriate low-fat dairy. Home/clinic BP, edema, sodium sources, adherence and medication changes.","Pickle, papad, namkeen, instant foods, salty sauces, processed meats and restaurant gravies. Do not recommend potassium-based salt substitutes without medicine and kidney review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | BP above 180/120 mmHg with chest pain, dyspnea, weakness, numbness, vision or speech change | Repeated BP above 180/120 mmHg without emergency symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian plus prescribing clinician as needed","S003;S019","Draft—consultant approval required"
"DC004","Hypertension — Veg — Weight loss","Veg","Hypertension","Weight loss","Keep total salt below the clinician-set limit; WHO population benchmark is less than 5 g salt/day (2 g sodium). Vegetables, fruit, pulses, whole grains, nuts/seeds and appropriate low-fat dairy. Home/clinic BP, edema, sodium sources, adherence and medication changes.","Pickle, papad, namkeen, instant foods, salty sauces, processed meats and restaurant gravies. Do not recommend potassium-based salt substitutes without medicine and kidney review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | BP above 180/120 mmHg with chest pain, dyspnea, weakness, numbness, vision or speech change | Repeated BP above 180/120 mmHg without emergency symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian plus prescribing clinician as needed","S003;S019","Draft—consultant approval required"
"DC005","Hypertension — Non-Veg — Condition support","Non-Veg","Hypertension","Condition support","Keep total salt below the clinician-set limit; WHO population benchmark is less than 5 g salt/day (2 g sodium). Vegetables, fruit, pulses, whole grains, nuts/seeds and appropriate low-fat dairy. Home/clinic BP, edema, sodium sources, adherence and medication changes.","Pickle, papad, namkeen, instant foods, salty sauces, processed meats and restaurant gravies. Do not recommend potassium-based salt substitutes without medicine and kidney review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | BP above 180/120 mmHg with chest pain, dyspnea, weakness, numbness, vision or speech change | Repeated BP above 180/120 mmHg without emergency symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian plus prescribing clinician as needed","S003;S019","Draft—consultant approval required"
"DC006","Hypertension — Non-Veg — Weight loss","Non-Veg","Hypertension","Weight loss","Keep total salt below the clinician-set limit; WHO population benchmark is less than 5 g salt/day (2 g sodium). Vegetables, fruit, pulses, whole grains, nuts/seeds and appropriate low-fat dairy. Home/clinic BP, edema, sodium sources, adherence and medication changes.","Pickle, papad, namkeen, instant foods, salty sauces, processed meats and restaurant gravies. Do not recommend potassium-based salt substitutes without medicine and kidney review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | BP above 180/120 mmHg with chest pain, dyspnea, weakness, numbness, vision or speech change | Repeated BP above 180/120 mmHg without emergency symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian plus prescribing clinician as needed","S003;S019","Draft—consultant approval required"
"DC007","Type 2 diabetes / prediabetes — Veg — Condition support","Veg","Type 2 diabetes / prediabetes","Condition support","Nonstarchy vegetables, whole fruit, legumes, whole grains, nuts/seeds and lean protein. Carbohydrate amount and timing must be individualized to medicines, activity and glucose pattern. Glucose/A1c, hypoglycemia, kidney function, weight and medication changes.","Sugar-sweetened beverages, juice, sweets, refined grains and ultra-processed foods. Do not substantially reduce carbohydrate without medication/hypoglycemia review; discourage ketogenic pattern with SGLT2 inhibitor use.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Type 1 diabetes | Insulin, sulfonylurea or recurrent hypoglycemia | Vomiting, dehydration, confusion, ketones or suspected hyperglycemic crisis | Pregnancy or planning pregnancy | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Diabetes-trained dietitian/clinician","S004","Draft—consultant approval required"
"DC008","Type 2 diabetes / prediabetes — Veg — Weight loss","Veg","Type 2 diabetes / prediabetes","Weight loss","Nonstarchy vegetables, whole fruit, legumes, whole grains, nuts/seeds and lean protein. Carbohydrate amount and timing must be individualized to medicines, activity and glucose pattern. Glucose/A1c, hypoglycemia, kidney function, weight and medication changes.","Sugar-sweetened beverages, juice, sweets, refined grains and ultra-processed foods. Do not substantially reduce carbohydrate without medication/hypoglycemia review; discourage ketogenic pattern with SGLT2 inhibitor use.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Type 1 diabetes | Insulin, sulfonylurea or recurrent hypoglycemia | Vomiting, dehydration, confusion, ketones or suspected hyperglycemic crisis | Pregnancy or planning pregnancy | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Diabetes-trained dietitian/clinician","S004","Draft—consultant approval required"
"DC009","Type 2 diabetes / prediabetes — Non-Veg — Condition support","Non-Veg","Type 2 diabetes / prediabetes","Condition support","Nonstarchy vegetables, whole fruit, legumes, whole grains, nuts/seeds and lean protein. Carbohydrate amount and timing must be individualized to medicines, activity and glucose pattern. Glucose/A1c, hypoglycemia, kidney function, weight and medication changes.","Sugar-sweetened beverages, juice, sweets, refined grains and ultra-processed foods. Do not substantially reduce carbohydrate without medication/hypoglycemia review; discourage ketogenic pattern with SGLT2 inhibitor use.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Type 1 diabetes | Insulin, sulfonylurea or recurrent hypoglycemia | Vomiting, dehydration, confusion, ketones or suspected hyperglycemic crisis | Pregnancy or planning pregnancy | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Diabetes-trained dietitian/clinician","S004","Draft—consultant approval required"
"DC010","Type 2 diabetes / prediabetes — Non-Veg — Weight loss","Non-Veg","Type 2 diabetes / prediabetes","Weight loss","Nonstarchy vegetables, whole fruit, legumes, whole grains, nuts/seeds and lean protein. Carbohydrate amount and timing must be individualized to medicines, activity and glucose pattern. Glucose/A1c, hypoglycemia, kidney function, weight and medication changes.","Sugar-sweetened beverages, juice, sweets, refined grains and ultra-processed foods. Do not substantially reduce carbohydrate without medication/hypoglycemia review; discourage ketogenic pattern with SGLT2 inhibitor use.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Type 1 diabetes | Insulin, sulfonylurea or recurrent hypoglycemia | Vomiting, dehydration, confusion, ketones or suspected hyperglycemic crisis | Pregnancy or planning pregnancy | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Diabetes-trained dietitian/clinician","S004","Draft—consultant approval required"
