"program_id","program_name","eligible_scope","default_pattern","automation_level","required_approver","critical_inputs","source_ids"
"WL","Weight management","Overweight/obesity without specialist-only conditions","Balanced high-quality Indian pattern","consultant_review","Dietitian/qualified health consultant","Anthropometry, activity, weight history, medications, eating-disorder screen","S001;S004"
"HTN","Hypertension","Diagnosed hypertension or elevated BP","DASH-style Indian pattern; lower sodium","consultant_review","Dietitian plus prescribing clinician as needed","Repeated BP, medicines, kidney function, serum potassium, edema","S003;S019"
"T2D","Type 2 diabetes / prediabetes","Nonpregnant adults with clinician-confirmed diagnosis","Individualized high-fiber whole-food pattern with consistent carbohydrate strategy","consultant_review","Diabetes-trained dietitian/clinician","A1c/glucose, medication and hypoglycemia risk, kidney function","S004"
"GOUT","Gout / hyperuricemia","Clinician-confirmed gout or high urate under evaluation","Balanced pattern emphasizing hydration when permitted and lower-risk protein choices","consultant_review","Dietitian/physician","Diagnosis, urate, kidney function, medicines, alcohol, flare history, fluid restriction","S007"
"CKD_EARLY","CKD—stable, earlier stages","Clinician-confirmed stable CKD not on dialysis; only with current labs","Renal-lab-adjusted pattern","specialist_review","Renal dietitian/nephrologist","eGFR, urine ACR, potassium, phosphorus, bicarbonate, edema, protein status","S005;S006"
"CKD_ADV","CKD G3–G5, dialysis, transplant or unstable kidney status","Advanced/unstable kidney disease","No generic template","do_not_auto_generate","Renal dietitian and nephrologist","Stage, treatment modality, current labs, urine output, medicines, nutrition status","S005;S006"
"MASLD","Fatty liver / MASLD","Clinician-diagnosed steatotic liver disease without decompensation","Mediterranean-style Indian whole-food pattern","specialist_review","Dietitian/physician","Fibrosis risk, alcohol, glucose/lipids, weight history, liver tests","S008"
"LIVER_ADV","Advanced or decompensated liver disease","Cirrhosis, ascites, encephalopathy, variceal bleeding or unstable liver disease","No generic template","do_not_auto_generate","Hepatology dietitian and hepatologist","Diagnosis/stage, ascites, sodium order, encephalopathy, labs, sarcopenia","S008"
"ARTH","Arthritis / joint health","Osteoarthritis or inflammatory arthritis alongside medical care","Mediterranean-style whole-food pattern","consultant_review","Dietitian/medical team","Arthritis type, medications, weight, kidney/GI risks, mobility","S014"
"BONE","Bone health / osteoporosis risk","Low bone density or bone-health support","Calcium- and protein-adequate balanced pattern","consultant_review","Dietitian/physician","Age, fracture history, calcium, 25-OH vitamin D, kidney function, medicines","S012;S013"
"PREG","Pregnancy","Pregnant clients without acute/high-risk complication","Pregnancy-balanced Indian pattern","specialist_review","Obstetric clinician and dietitian","Gestational age, prepregnancy BMI, weight trajectory, BP, glucose, anemia, nausea, food safety","S001;S009"
"PP_BF","Postpartum—breastfeeding","Postpartum and breastfeeding/pumping","Recovery and lactation-support pattern","specialist_review","Obstetric/lactation team and dietitian","Weeks postpartum, delivery/bleeding, feeding method, milk supply, weight, anemia, mood","S001;S010"
"PP_NBF","Postpartum—not breastfeeding","Postpartum and not breastfeeding","Recovery-first balanced pattern","specialist_review","Obstetric clinician/dietitian","Weeks postpartum, delivery/bleeding, wound healing, weight, anemia, mood","S001"
"PCOS","PCOS / PMOS","Clinician-diagnosed polycystic ovary syndrome / renamed PMOS terminology","Sustainable individualized healthy pattern; no mandatory special diet","consultant_review","Dietitian/gynecology or endocrinology team","Pregnancy intent/status, glucose, lipids, weight, eating-disorder and mental-health screen","S011"
"LIPID","Dyslipidemia","Clinician-confirmed lipid abnormality","Mediterranean/DASH-style Indian pattern","consultant_review","Dietitian/physician","Lipid profile, diabetes, thyroid, liver/kidney disease, medicines","S001;S004"
"THYROID","Hypothyroidism","Treated or evaluated hypothyroidism","General balanced pattern plus medication-timing support","consultant_review","Prescribing clinician/dietitian","TSH/FT4, medicine dose/timing, pregnancy, iron/calcium supplements","S015"
"ANEMIA","Iron-deficiency anemia / low iron","Laboratory-confirmed or under clinical evaluation","Iron-supportive balanced pattern","specialist_review","Physician/dietitian","CBC, ferritin/iron studies, bleeding/menstrual history, pregnancy, cause evaluation","S016"
"GERD","GERD / reflux","Clinician-diagnosed or recurrent reflux symptoms","Smaller meals and individual-trigger strategy","consultant_review","Dietitian/physician","Alarm symptoms, timing, individual triggers, medicines, weight trend","S017"
"IBS","Irritable bowel syndrome","Clinician-diagnosed IBS after red-flag evaluation","Regular balanced pattern; elimination trials only supervised","specialist_review","GI dietitian/clinician","IBS subtype, alarm symptoms, weight, diet history, celiac evaluation as appropriate","S018"
