"combination_id","condition_combination","rule","required_review"
"C001","T2D+HTN","Apply both; sodium limits and carbohydrate strategy must be coordinated.","consultant_review"
"C002","T2D+CKD_EARLY","Kidney labs override generic fruit, whole-grain, pulse and protein advice.","renal_diabetes_specialist"
"C003","T2D+CKD_ADV","No automatic plan.","specialist_only"
"C004","HTN+CKD_EARLY","Use renal-lab-specific sodium/potassium plan; never auto-use potassium salt substitutes.","renal_specialist"
"C005","GOUT+CKD","Do not auto-increase fluids or reduce protein without renal review.","renal_specialist"
"C006","PREG+T2D","Pregnancy/obstetric diabetes pathway supersedes routine diabetes template.","specialist_only"
"C007","PREG+HTN","Obstetric hypertension pathway; urgent symptoms override diet planning.","specialist_only"
"C008","PREG+CKD_OR_LIVER","No automatic menu.","specialist_only"
"C009","PP_BF+WL","Lactation/recovery needs override weight-loss deficit; confirm milk supply and recovery.","specialist_review"
"C010","PCOS+PREG","Pregnancy program supersedes PCOS weight-management template.","specialist_review"
"C011","BONE+CKD","Renal mineral-bone management overrides routine calcium/phosphorus advice.","specialist_only"
"C012","THYROID+ANEMIA","Coordinate levothyroxine and iron/calcium timing with prescriber.","consultant_review"
"C013","MASLD+T2D","Use one integrated cardiometabolic plan; avoid duplicate/restrictive rules.","specialist_review"
"C014","ARTH+GOUT","Gout-specific animal-purine guidance overrides generic oily-fish suggestion.","consultant_review"
"C015","GERD+PREG","Food safety and pregnancy adequacy supersede broad trigger exclusions.","specialist_review"
"C016","IBS+CKD","No unsupervised low-FODMAP or mineral restriction combination.","specialist_only"
"C017","ANY_3_PLUS","Manual multidisciplinary reconciliation of all rules.","multidisciplinary_review"
