"escalation_id","program_ids","trigger","action","rationale"
"E001","All","Age under 18","specialist_only","Pediatric growth and nutrient needs require a pediatric pathway."
"E002","All","Current/past eating disorder, severe restriction, purging or rapid unexplained weight change","stop_and_refer","Do not issue weight-loss targets."
"E003","All","Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state","stop_and_refer","Medical nutrition therapy required."
"E004","HTN","BP above 180/120 mmHg with chest pain, dyspnea, weakness, numbness, vision or speech change","emergency","Emergency evaluation; no diet plan."
"E005","HTN","Repeated BP above 180/120 mmHg without emergency symptoms","urgent_clinician","Prompt clinician contact; no routine plan activation."
"E006","T2D","Type 1 diabetes","specialist_only","Insulin/carbohydrate coordination required."
"E007","T2D","Insulin, sulfonylurea or recurrent hypoglycemia","specialist_review","Do not change carbohydrate timing/amount without medication plan."
"E008","T2D","Vomiting, dehydration, confusion, ketones or suspected hyperglycemic crisis","emergency","Urgent medical evaluation."
"E009","T2D","Pregnancy or planning pregnancy","specialist_only","Use obstetric diabetes pathway."
"E010","CKD_EARLY","Missing current eGFR, potassium or kidney diagnosis/stage","block_plan","Renal food choices cannot be safely selected."
"E011","CKD_ADV","eGFR below 30, dialysis, transplant, AKI, unstable labs or major edema","specialist_only","Renal dietitian/nephrologist plan only."
"E012","CKD_ADV","Clinically abnormal potassium or phosphorus","urgent_clinician","Diet changes require lab-specific medical review."
"E013","GOUT","Fluid restriction, kidney failure or heart failure","specialist_review","Do not automatically advise increased fluids."
"E014","LIVER_ADV","Ascites, encephalopathy/confusion, vomiting blood or black stool","urgent_or_emergency","Hepatology/emergency pathway; no generic plan."
"E015","LIVER_ADV","Cirrhosis/decompensation or marked sarcopenia","specialist_only","Energy, protein, sodium and meal timing require specialist care."
"E016","PREG","Any pregnancy","specialist_review","Obstetric approval required before plan display."
"E017","PREG","Severe vomiting, bleeding, severe headache/vision symptoms, marked swelling, high BP or reduced fetal movement","urgent_clinician","Immediate obstetric triage according to local protocol."
"E018","PP_BF","Postpartum under 6 weeks","specialist_review","Recovery-first plan; no weight-loss automation."
"E019","PP_BF;PP_NBF","Heavy bleeding, fever, wound concerns, severe headache, chest pain, dyspnea or severe mood symptoms","urgent_or_emergency","Postpartum medical evaluation."
"E020","ANEMIA","Severe/symptomatic anemia, pregnancy, active bleeding or unclear cause","urgent_clinician","Medical evaluation and treatment required."
"E021","GERD;IBS","GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss","stop_and_refer","Diagnostic evaluation required."
"E022","BONE","CKD mineral-bone disorder, hypercalcemia or recurrent kidney stones","specialist_only","Do not auto-prescribe calcium/vitamin D."
"E023","All","Three or more active medical conditions or conflicting restrictions","multidisciplinary_review","Combination rules may be insufficient."
"E024","All","Severe food allergy or anaphylaxis history","allergy_specialist_review","Verified allergen data and cross-contact controls required."
