"rule_id","program_id","rule_type","rule_text","numeric_target","unit_or_condition","source_id","consultant_approval_required"
"R0001","WL","include","Vegetables, pulses/lean protein, whole grains and minimally processed foods at most meals.","","Always","S001","Yes"
"R0002","WL","target","Set energy target only after assessment; use a moderate, sustainable deficit and monitor nutrition adequacy.","","If weight loss is clinically appropriate","S004","Yes"
"R0003","WL","limit","Sugar-sweetened beverages, frequent fried foods, sweets and oversized portions.","","Always","S001","Yes"
"R0004","WL","monitor","Weight trend, waist, hunger, strength, adherence and signs of nutrient inadequacy.","","Every review","S004","Yes"
"R0005","WL","avoid","Do not prescribe aggressive loss during pregnancy, early postpartum, active eating disorder, undernutrition or unstable disease.","","Safety screen positive","S001","Yes"
"R0006","HTN","target","Keep total salt below the clinician-set limit; WHO population benchmark is less than 5 g salt/day (2 g sodium).","<5","g salt/day","S003","Yes"
"R0007","HTN","include","Vegetables, fruit, pulses, whole grains, nuts/seeds and appropriate low-fat dairy.","","When compatible with kidney labs","S003","Yes"
"R0008","HTN","limit","Pickle, papad, namkeen, instant foods, salty sauces, processed meats and restaurant gravies.","","Always","S003","Yes"
"R0009","HTN","avoid","Do not recommend potassium-based salt substitutes without medicine and kidney review.","","CKD, abnormal potassium or interacting medicines","S006","Yes"
"R0010","HTN","monitor","Home/clinic BP, edema, sodium sources, adherence and medication changes.","","Every review","S019","Yes"
"R0011","T2D","include","Nonstarchy vegetables, whole fruit, legumes, whole grains, nuts/seeds and lean protein.","","Always","S004","Yes"
"R0012","T2D","target","Carbohydrate amount and timing must be individualized to medicines, activity and glucose pattern.","","Always","S004","Yes"
"R0013","T2D","limit","Sugar-sweetened beverages, juice, sweets, refined grains and ultra-processed foods.","","Always","S004","Yes"
"R0014","T2D","avoid","Do not substantially reduce carbohydrate without medication/hypoglycemia review; discourage ketogenic pattern with SGLT2 inhibitor use.","","Relevant medicines","S004","Yes"
"R0015","T2D","monitor","Glucose/A1c, hypoglycemia, kidney function, weight and medication changes.","","Every review","S004","Yes"
"R0016","GOUT","include","Water and fluids only to the clinician-approved amount; low-fat dairy and plant-forward meals can be used when otherwise suitable.","","No fluid restriction","S007","Yes"
"R0017","GOUT","limit","Red meat, selected seafood, high-fructose drinks and alcohol; portion/frequency individualized.","","Always","S007","Yes"
"R0018","GOUT","avoid","Organ meats and binge alcohol; diet is not a replacement for urate-lowering treatment when indicated.","","Always","S007","Yes"
"R0019","GOUT","monitor","Flares, serum urate, medicines, kidney function and weight trajectory.","","Every review","S007","Yes"
"R0020","GOUT","caution","Do not apply broad bans to nutritious vegetables solely because they contain purines.","","Always","S007","Yes"
"R0021","CKD_EARLY","target","Protein, sodium, potassium, phosphorus and fluid must be set from CKD stage, labs, treatment and nutrition status.","","Always","S005","Yes"
"R0022","CKD_EARLY","target","KDIGO suggests about 0.8 g/kg/day protein for adults with CKD G3–G5; application requires renal review.","0.8","g/kg/day","S005","Yes"
"R0023","CKD_EARLY","limit","Processed foods with sodium and phosphate additives; limits depend on current labs.","","Always","S006","Yes"
"R0024","CKD_EARLY","avoid","Avoid high-protein plans and potassium salt substitutes unless the renal team approves.","","Always","S005","Yes"
"R0025","CKD_EARLY","monitor","eGFR, ACR, potassium, phosphorus, bicarbonate, edema, weight and muscle status.","","Every review","S006","Yes"
"R0026","MASLD","include","Mediterranean-style whole foods: vegetables, fruit, whole grains, pulses, nuts, fish/lean protein as appropriate.","","Always","S008","Yes"
"R0027","MASLD","target","If excess weight is present, use gradual clinician-supervised weight reduction; do not set a target from diagnosis alone.","","If appropriate","S008","Yes"
"R0028","MASLD","limit","Added sugar, sugar-sweetened drinks, refined foods and excess saturated fat.","","Always","S008","Yes"
"R0029","MASLD","avoid","Avoid alcohol unless the liver clinician explicitly advises otherwise.","","Always","S008","Yes"
"R0030","MASLD","monitor","Weight/waist, glucose, lipids, liver tests and fibrosis risk per clinician.","","Every review","S008","Yes"
"R0031","ARTH","include","Mediterranean-style whole-food pattern; plant foods, nuts/seeds and suitable lean proteins.","","Always","S014","Yes"
"R0032","ARTH","include","For non-vegetarians, oily fish may be used if compatible with pregnancy, gout and kidney status.","","If suitable","S014","Yes"
"R0033","ARTH","limit","Ultra-processed foods, trans fat, excess saturated fat and added sugars.","","Always","S014","Yes"
"R0034","ARTH","caution","No food or elimination diet should be presented as curing arthritis.","","Always","S014","Yes"
"R0035","ARTH","monitor","Weight, function, pain pattern, medicines and GI/kidney risks.","","Every review","S014","Yes"
"R0036","BONE","include","Food sources of calcium, adequate protein and vitamin-D-containing/fortified foods.","","Based on age and labs","S012","Yes"
"R0037","BONE","target","Set calcium and vitamin D targets by age, pregnancy status, labs and clinician advice.","","Always","S012","Yes"
"R0038","BONE","avoid","Do not automatically prescribe high-dose calcium or vitamin D supplements.","","Always","S013","Yes"
"R0039","BONE","caution","CKD mineral-bone disorder requires renal specialist management.","","CKD present","S006","Yes"
"R0040","BONE","monitor","Fractures, bone density, calcium, vitamin D, kidney function and relevant medicines.","","Every review","S013","Yes"
"R0041","PREG","include","Varied foods from grains, vegetables, fruit, protein foods and pasteurized dairy/alternatives; prescribed prenatal supplements.","","Always","S009","Yes"
"R0042","PREG","target","Energy and weight-gain goals depend on trimester and prepregnancy BMI; ICMR-NIN provides Indian pregnancy guidance.","","Always","S001","Yes"
"R0043","PREG","avoid","Alcohol, raw/undercooked animal foods, unpasteurized foods and high-mercury fish.","","Always","S009","Yes"
"R0044","PREG","caution","Vegetarian/vegan plans require review of iron, B12, protein, iodine, calcium and vitamin D.","","Vegetarian/vegan","S009","Yes"
"R0045","PREG","monitor","Weight trajectory, BP, glucose, hemoglobin, nausea/vomiting and fetal/obstetric status.","","Every obstetric review","S009","Yes"
"R0046","PP_BF","include","Regular balanced meals, protein foods, fruit/vegetables and fluids guided by thirst and clinical needs.","","Always","S010","Yes"
"R0047","PP_BF","target","CDC notes many well-nourished breastfeeding mothers need roughly 330–400 extra kcal/day; individualize.","330–400","kcal/day above prepregnancy needs","S010","Yes"
"R0048","PP_BF","avoid","Avoid aggressive calorie restriction, especially with low supply, early recovery or undernutrition.","","Always","S010","Yes"
"R0049","PP_BF","caution","Vegetarian/vegan lactation needs B12 and other micronutrient review; supplements only clinician-approved.","","Vegetarian/vegan","S010","Yes"
"R0050","PP_BF","monitor","Recovery, bleeding/anemia, milk supply, infant growth, hydration, mood and weight trend.","","Every review","S010","Yes"
"R0051","PP_NBF","include","Recovery-focused balanced meals with protein, iron-rich foods, fiber and fluids as tolerated.","","Always","S001","Yes"
"R0052","PP_NBF","avoid","Do not prioritize rapid weight loss in the early recovery period.","","First 6 weeks or longer if clinically indicated","S001","Yes"
"R0053","PP_NBF","monitor","Wound recovery, bleeding/anemia, bowel function, mood and weight trend.","","Every review","S001","Yes"
"R0054","PP_NBF","caution","Postpartum complications override generic templates.","","Any complication","S001","Yes"
"R0055","PP_NBF","target","Begin gradual weight-management changes only after obstetric clearance.","","After clearance","S001","Yes"
"R0056","PCOS","include","A sustainable healthy eating pattern matched to preferences, culture and metabolic goals.","","Always","S011","Yes"
"R0057","PCOS","caution","No single diet composition has proven superior for all PCOS/PMOS outcomes.","","Always","S011","Yes"
"R0058","PCOS","target","If weight loss is appropriate, set individualized goals without weight stigma and protect nutrition adequacy.","","If appropriate","S011","Yes"
"R0059","PCOS","monitor","Glucose, lipids, menstrual/reproductive goals, weight trajectory, sleep and mental health.","","Every review","S011","Yes"
"R0060","PCOS","avoid","Do not use pregnancy-unsafe or highly restrictive plans when pregnancy is possible or intended.","","Pregnancy possible","S011","Yes"
"R0061","LIPID","include","Vegetables, fruit, whole grains, pulses, nuts/seeds and unsaturated fats; lean protein as appropriate.","","Always","S004","Yes"
"R0062","LIPID","limit","Trans fat, excess saturated fat, processed meats, refined carbohydrate and added sugar.","","Always","S004","Yes"
"R0063","LIPID","include","Soluble-fiber foods such as oats, barley and pulses when compatible with GI/renal status.","","If suitable","S004","Yes"
"R0064","LIPID","monitor","LDL, HDL, triglycerides, weight, glucose, thyroid and liver status.","","Every review","S004","Yes"
"R0065","LIPID","caution","Very high triglycerides require clinician-directed management, not a generic app plan.","","Severe result","S004","Yes"
"R0066","THYROID","include","Use a generally balanced diet; hypothyroidism does not require a special fad diet.","","Always","S015","Yes"
"R0067","THYROID","target","Take levothyroxine consistently according to prescriber instructions, commonly with water on an empty stomach.","","If prescribed","S015","Yes"
"R0068","THYROID","separate","Calcium, iron, soy and certain antacids/medicines can affect absorption; use prescriber-specified spacing.","","If relevant","S015","Yes"
"R0069","THYROID","avoid","Do not recommend kelp, iodine megadoses or thyroid supplements.","","Always","S015","Yes"
"R0070","THYROID","monitor","TSH/FT4, dose changes, pregnancy, symptoms and supplement timing.","","Clinician schedule","S015","Yes"
"R0071","ANEMIA","include","Iron-rich foods plus vitamin-C-rich foods; use both plant and animal sources according to preference.","","Always","S016","Yes"
"R0072","ANEMIA","caution","Food is not a substitute for diagnosing bleeding, malabsorption or other causes and prescribing iron when needed.","","Always","S016","Yes"
"R0073","ANEMIA","separate","Tea/coffee and some calcium-rich foods may reduce iron absorption; individualize timing around iron-rich meals/supplements.","","If iron deficient","S016","Yes"
"R0074","ANEMIA","avoid","Do not prescribe iron supplements without dose and cause assessment.","","Always","S016","Yes"
"R0075","ANEMIA","monitor","CBC, ferritin/iron studies, response, tolerance and cause evaluation.","","Clinician schedule","S016","Yes"
"R0076","GERD","include","Smaller meals and a food/symptom diary; keep meals at least 3 hours before lying down if nocturnal symptoms.","≥3","hours before lying down","S017","Yes"
"R0077","GERD","limit","Only personally identified triggers; common candidates include high-fat foods, alcohol, caffeine, chocolate, mint, spicy and acidic foods.","","If symptom-linked","S017","Yes"
"R0078","GERD","avoid","Do not impose a broad lifelong exclusion list without testing individual response.","","Always","S017","Yes"
